BuildingType,PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,ListOfAllPropertyUseTypes_list
SPS-District K-12,K-12 School,98119,MAGNOLIA / QUEEN ANNE,2003,1,3,0,75214,K-12 School,31,2334260,1733685,600575,44,['K-12 School']
SPS-District K-12,K-12 School,98116,SOUTHWEST,2005,1,3,0,134918,K-12 School,28,3822102,2895105,926998,69,['K-12 School']
SPS-District K-12,K-12 School,98144,CENTRAL,1991,1,2,0,64414,K-12 School,35,2295176,2295176,0,16,['K-12 School']
SPS-District K-12,K-12 School,98115,NORTHWEST,1927,1,3,0,92437,K-12 School,50,4626443,967866,3658577,201,['K-12 School']
NonResidential,Other,98101,DOWNTOWN,1914,1,7,0,128766,"Office, Other, Other - Entertainment/Public Assembly",47,6057410,5732650,324760,57,"['Office', 'Other', 'Other - Entertainment/Public Assembly']"
NonResidential,Residence Hall,98101,DOWNTOWN,1913,1,9,0,107572,"Office, Residence Hall/Dormitory, Retail Store",55,5572503,2496056,0,255,"['Office', 'Residence Hall/Dormitory', 'Retail Store']"
NonResidential,Other,98101,DOWNTOWN,1955,1,15,0,230880,Other,306,62197176,62197171,0,434,['Other']
SPS-District K-12,K-12 School,98108,GREATER DUWAMISH,2007,1,3,0,204961,K-12 School,40,8190809,4528726,3662082,226,['K-12 School']
NonResidential,Other,98119,MAGNOLIA / QUEEN ANNE,1973,1,1,0,76086,Other,42,3267564,1563366,1704198,101,['Other']
NonResidential,Medical Office,98119,MAGNOLIA / QUEEN ANNE,1927,1,5,39000,151000,"Medical Office, Office",184,28731502,18745441,9986059,661,"['Medical Office', 'Office']"
NonResidential,Hotel,98121,DOWNTOWN,1961,1,4,0,122309,Hotel,208,25453690,6322533,19131155,1060,['Hotel']
Campus,Other,98125,DOWNTOWN,1995,4,3,0,215476,Other,111,24017770,13788853,10228916,639,['Other']
NonResidential,Hotel,98121,DOWNTOWN,2003,1,8,38800,215473,Hotel,96,26659244,13763542,12895700,781,['Hotel']
Nonresidential COS,Other,98101,DOWNTOWN,1980,1,2,0,69400,Other - Entertainment/Public Assembly,214,14833476,10534370,4299104,302,['Other - Entertainment/Public Assembly']
NonResidential,Mixed Use Property,98104,DOWNTOWN,1900,1,1,0,62900,"Other, Restaurant, Retail Store",158,10394330,3787933,6606397,377,"['Other', 'Restaurant', 'Retail Store']"
NonResidential,Small- and Mid-Sized Office,98104,DOWNTOWN,1914,1,4,0,56500,"Office, Retail Store",34,1380294,887532,0,44,"['Office', 'Retail Store']"
NonResidential,Warehouse,98134,GREATER DUWAMISH,2008,1,4,0,203504,"Non-Refrigerated Warehouse, Other - Services",19,3785282,3785282,0,26,"['Non-Refrigerated Warehouse', 'Other - Services']"
