PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,z_SiteEnergyUse(kBtu),z_TotalGHGEmissions
Self-Storage Facility,98101,DOWNTOWN,1964,1,5,0,93660,Self-Storage Facility,9,873222,873222,0,6,-0.8156664309117881,-0.8661791171039902
Mixed Use Property,98101,DOWNTOWN,2000,1,11,195621,185760,"Fitness Center/Health Club/Gym, Office, Parking",48,9765777,9671822,93954,72,2.8589529321001335,0.19282010470408278
Mixed Use Property,98121,DOWNTOWN,1980,1,4,38700,70647,"Laboratory, Office, Parking",116,8218156,7484659,733496,91,2.219438406386897,0.4976835170427705
Large Office,98121,DOWNTOWN,1947,1,3,48512,144118,"Office, Parking",37,5357833,5169641,188191,46,1.0374835823494462,-0.22436140691727927
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,5,0,50176,"Office, Other, Restaurant",47,2933289,2836654,96634,25,0.03560320838781472,-0.5613157047653025
Warehouse,98108,GREATER DUWAMISH,1977,1,1,0,128800,"Non-Refrigerated Warehouse, Other",14,1809102,371850,1437252,79,-0.42893812060551545,0.3051382039867572
Mixed Use Property,98108,GREATER DUWAMISH,1970,1,1,0,88400,"Distribution Center, Non-Refrigerated Warehouse, Office",48,4383100,2530658,1852442,116,0.63470027029046,0.8988195859094648
Warehouse,98133,NORTHWEST,1960,1,1,0,52311,Non-Refrigerated Warehouse,18,930612,16765,913847,49,-0.7919514912523479,-0.17622507865327597
Other,98109,LAKE UNION,2009,1,5,69710,71421,"Office, Parking, Personal Services (Health/Beauty, Dry Cleaning, etc)",43,3085814,3085813,0,22,0.09863023699133681,-0.6094520330293058
Large Office,98109,LAKE UNION,2001,1,5,70067,106465,"Office, Parking",56,5803409,5803409,0,40,1.2216063903943108,-0.3206340634452859
Warehouse,98107,BALLARD,1973,1,1,0,52500,"Non-Refrigerated Warehouse, Office",72,3989399,3064777,924621,70,0.4720134701709041,0.16072921919474725
Warehouse,98107,BALLARD,1959,1,2,0,57300,"Non-Refrigerated Warehouse, Office",80,4560492,1853914,2706578,157,0.7080029462979078,1.5566827388508433
Large Office,98101,DOWNTOWN,1958,1,10,0,135918,Office,44,6423556,4302353,0,194,1.4778661688397354,2.150364120773551
Retail Store,98101,DOWNTOWN,1914,1,4,0,79957,"Office, Retail Store",80,5252131,5252130,0,37,0.9938049527644636,-0.3687703917092892
Large Office,98101,DOWNTOWN,1921,1,4,0,127268,"Non-Refrigerated Warehouse, Office, Retail Store",64,7711758,6039805,957428,148,2.0101824730594657,1.4122737540588335
Large Office,98101,DOWNTOWN,1926,1,10,0,132326,"Office, Other, Retail Store",53,6029020,5698221,2551,65,1.314834326472129,0.08050200542140838
Large Office,98101,DOWNTOWN,1984,1,6,13200,96630,"Office, Other, Parking, Retail Store",88,7335906,7335905,0,51,1.854871312563213,-0.1441341931439404
Small- and Mid-Sized Office,98101,DOWNTOWN,1920,1,8,0,60660,"Office, Retail Store",55,2586116,2586116,0,18,-0.10785709386670468,-0.6736338040479769
Large Office,98101,DOWNTOWN,1929,1,14,0,137350,Office,51,6366084,4107229,0,203,1.4541173447918638,2.294773105565561
Large Office,98101,DOWNTOWN,1929,1,15,0,151039,Office,43,5446624,2596546,0,238,1.0741741766568407,2.856363601978933
Small- and Mid-Sized Office,98101,DOWNTOWN,1906,1,4,0,63540,Office,62,3518460,2428286,1090173,75,0.2774100554945292,0.2409564329680861
Large Office,98101,DOWNTOWN,1927,1,10,0,130893,"Medical Office, Office, Supermarket/Grocery Store",57,6962073,6962072,0,49,1.700394451826019,-0.17622507865327597
Mixed Use Property,98101,DOWNTOWN,1910,1,5,0,79920,"Office, Other, Retail Store",38,3009464,3009464,0,21,0.06708056556777404,-0.6254974757839735
Other,98101,DOWNTOWN,1996,1,6,86429,61423,"Office, Other - Restaurant/Bar, Parking, Retail Store",158,9671619,7122619,2548999,185,2.8200445632474835,2.005955135981541
Other,98101,DOWNTOWN,1996,1,4,166960,100375,"Movie Theater, Other - Restaurant/Bar, Parking",75,7273156,5169902,2103253,148,1.8289414909282613,1.4122737540588335
Large Office,98101,DOWNTOWN,1986,1,12,15140,100717,"Office, Parking, Restaurant",45,4757300,4757299,0,33,0.7893287843270963,-0.43295216272796033
Small- and Mid-Sized Office,98121,DOWNTOWN,1999,1,4,17500,70000,"Office, Other",63,4549892,4549891,0,32,0.7036227692567845,-0.44899760548262807
Large Office,98101,DOWNTOWN,1923,1,11,0,102846,"Office, Retail Store",52,5327250,1846369,0,282,1.024845945137307,3.562363083184315
Small- and Mid-Sized Office,98121,DOWNTOWN,1925,1,4,0,52800,"Office, Restaurant",47,2429021,1831932,597088,44,-0.17277255728889976,-0.2564522924266148
Other,98101,EAST,1988,1,9,0,46710,Urgent Care/Clinic/Other Outpatient,89,4169432,2722116,0,131,0.5464074714203904,1.1395012272294813
Hotel,98109,LAKE UNION,1979,1,5,29409,79608,Hotel,87,9474745,5625395,3849350,244,2.7386914524178505,2.9526362585069394
Warehouse,98104,GREATER DUWAMISH,2001,1,1,0,123061,Non-Refrigerated Warehouse,16,1987935,1987934,0,14,-0.35503998845502427,-0.737815575066648
Distribution Center,98108,GREATER DUWAMISH,1963,1,1,0,59090,"Distribution Center, Office",47,2756215,634386,2121829,117,-0.037568062308399465,0.9148650286641326
Warehouse,98108,GREATER DUWAMISH,1963,1,1,0,106000,Non-Refrigerated Warehouse,7,763364,763364,0,5,-0.8610624204762906,-0.8822245598586579
Distribution Center,98108,GREATER DUWAMISH,1960,1,1,0,119661,Distribution Center,6,775729,774965,764,5,-0.8559529026353953,-0.8822245598586579
Large Office,98109,LAKE UNION,2001,1,7,44728,94472,Office,53,4342597,4342597,0,30,0.6179634485266281,-0.4810884909919636
Small- and Mid-Sized Office,98119,MAGNOLIA / QUEEN ANNE,1984,1,6,33921,61800,"Office, Parking",32,3063504,3063504,0,21,0.08941120399251971,-0.6254974757839735
