PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions
Warehouse,98116,GREATER DUWAMISH,1970,1,1,0,23750,"Non-Refrigerated Warehouse, Office",25,522972,522972,0,4
Warehouse,98134,GREATER DUWAMISH,1970,1,1,0,43390,"Non-Refrigerated Warehouse, Office",12,533743,533743,0,4
Warehouse,98134,GREATER DUWAMISH,1959,1,1,0,35400,Non-Refrigerated Warehouse,12,419979,282006,137973,9
Distribution Center,98104,GREATER DUWAMISH,1966,1,1,0,28144,"Distribution Center, Office",30,858701,810350,48351,8
Warehouse,98199,GREATER DUWAMISH,1916,1,3,0,71283,"Non-Refrigerated Warehouse, Office",35,2491238,1931964,559274,43
Warehouse,98134,GREATER DUWAMISH,1989,1,1,0,23792,"Non-Refrigerated Warehouse, Office",120,2852103,2852102,0,20
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1979,1,2,0,47368,"Office, Parking",22,1042653,1042653,0,7
Mixed Use Property,98134,GREATER DUWAMISH,1931,1,1,0,46183,"Food Service, Non-Refrigerated Warehouse, Retail Store",41,1890502,1571102,319400,28
Retail Store,98118,SOUTHEAST,1968,1,1,0,36071,Retail Store,42,1519952,649355,870597,51
K-12 School,98118,SOUTHEAST,1989,1,3,0,51672,K-12 School,28,1436510,1213523,222987,20
Mixed Use Property,98118,SOUTHEAST,1995,1,1,0,28425,"Fitness Center/Health Club/Gym, Office, Other - Recreation",75,2133798,1215305,918493,57
Other,98125,NORTH,2009,1,3,0,35115,Automobile Dealership,55,1922953,1521297,401656,32
Mixed Use Property,98103,NORTHWEST,1972,1,1,0,66704,"Distribution Center, Non-Refrigerated Warehouse, Office, Other - Education, Parking",9,600517,262709,337808,20
Warehouse,98103,NORTHWEST,1969,1,1,0,25658,"Non-Refrigerated Warehouse, Office",42,1063960,815633,248327,19
Small- and Mid-Sized Office,98122,EAST,1907,1,2,0,36000,"Office, Other",29,1046188,813255,232933,18
Mixed Use Property,98122,EAST,1913,1,1,0,36000,"Parking, Retail Store",65,1162163,763041,399122,27
Warehouse,98122,EAST,1915,1,2,0,43200,Non-Refrigerated Warehouse,45,1929852,1155595,774256,49
Retail Store,98134,GREATER DUWAMISH,1975,1,1,0,43794,"Office, Retail Store",27,1164538,831084,333454,24
Warehouse,98134,GREATER DUWAMISH,1968,1,1,0,48280,"Non-Refrigerated Warehouse, Office",56,2701834,1407161,1294673,79
Distribution Center,98134,GREATER DUWAMISH,1954,1,1,0,36040,"Distribution Center, Office",10,363808,251031,112777,8
Supermarket / Grocery Store,98115,NORTHEAST,1965,1,1,0,32822,"Parking, Supermarket/Grocery Store",252,8839812,5408701,3431110,220
K-12 School,98115,NORTHEAST,1948,1,1,0,64314,K-12 School,45,2936336,1038090,1898246,108
Worship Facility,98115,NORTHEAST,1950,1,2,0,20385,Worship Facility,40,809292,193858,615434,34
Worship Facility,98115,NORTHEAST,1946,1,1,0,24295,Worship Facility,9,216115,216115,0,2
Small- and Mid-Sized Office,98105,NORTHEAST,1967,1,2,0,20317,Office,31,620994,620994,0,4
Other,98113,NORTHWEST,1986,1,1,0,33392,Movie Theater,84,2786649,2786648,0,19
Supermarket / Grocery Store,98133,NORTHWEST,1986,1,1,0,45155,Supermarket/Grocery Store,148,6674180,4244454,2429726,159
Warehouse,98108,GREATER DUWAMISH,1966,1,1,0,32000,Non-Refrigerated Warehouse,68,2186148,1611215,574933,42
Warehouse,98108,GREATER DUWAMISH,1970,1,1,0,44000,Non-Refrigerated Warehouse,95,4302456,1148123,3154333,176
Warehouse,98108,GREATER DUWAMISH,1973,1,1,0,36000,Non-Refrigerated Warehouse,77,2771820,494348,2277473,124
Warehouse,98108,GREATER DUWAMISH,1979,1,1,0,31360,"Non-Refrigerated Warehouse, Retail Store",44,1356972,626210,730762,43
Warehouse,98108,GREATER DUWAMISH,1979,1,1,0,33320,"Non-Refrigerated Warehouse, Office",70,2339234,1289233,1050001,65
Warehouse,98108,GREATER DUWAMISH,1979,1,1,0,48020,Non-Refrigerated Warehouse,50,2373568,1450508,923060,59
Warehouse,98108,GREATER DUWAMISH,1979,1,1,0,27420,Non-Refrigerated Warehouse,42,1176342,507743,668599,39
K-12 School,98122,CENTRAL,1929,1,2,0,24152,K-12 School,7,161363,161363,0,1
K-12 School,98115,NORTHEAST,1949,1,2,0,43645,K-12 School,56,2053956,518880,1535077,85
Retail Store,98115,NORTHEAST,1952,1,1,0,26853,Retail Store,69,1399063,1145340,253723,21
Other,98134,GREATER DUWAMISH,1909,1,4,0,44775,Other,21,950696,446650,504046,30
Other,98134,GREATER DUWAMISH,1937,1,1,0,20975,"Fast Food Restaurant, Other, Other - Entertainment/Public Assembly",17,347438,259882,87556,6
Other,98134,GREATER DUWAMISH,1918,1,1,0,26075,Other,62,1608509,1470083,138426,18
Warehouse,98134,GREATER DUWAMISH,1992,1,1,0,29394,"Non-Refrigerated Warehouse, Office",32,1486682,1141948,344734,26
Warehouse,98134,GREATER DUWAMISH,1926,1,2,0,20400,"Non-Refrigerated Warehouse, Office",22,438557,241070,197487,12
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1926,1,1,0,20460,Office,44,903542,903542,0,6
Self-Storage Facility,98134,GREATER DUWAMISH,1925,1,2,0,25821,Self-Storage Facility,8,209699,209699,0,1
Refrigerated Warehouse,98134,GREATER DUWAMISH,1955,1,2,0,21870,Refrigerated Warehouse,49,1074350,1074350,0,7
Medical Office,98126,DELRIDGE,1970,1,1,0,43615,Medical Office,72,3133850,1302454,1831396,106
Small- and Mid-Sized Office,98126,DELRIDGE,1970,1,3,0,36879,Office,68,1144268,1144267,0,8
Other,98106,DELRIDGE,2002,1,2,0,28531,"Other, Parking",124,3494930,2013762,1481167,93
Warehouse,98106,DELRIDGE,1982,1,2,0,36600,Non-Refrigerated Warehouse,7,308400,308400,0,2
Mixed Use Property,98126,SOUTHWEST,2004,1,5,0,35176,"Office, Other",35,1011965,1011965,0,7
K-12 School,98115,NORTH,1959,1,1,0,36701,K-12 School,39,1564892,761419,803473,48
Warehouse,98134,GREATER DUWAMISH,1941,1,1,0,48890,"Non-Refrigerated Warehouse, Office",43,2100216,1082370,1017846,62
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,2000,1,3,0,43473,Office,102,4416910,4416909,0,31
Retail Store,98126,DELRIDGE,1990,1,1,0,40265,Retail Store,92,3740374,3536625,203748,35
Retail Store,98126,DELRIDGE,2005,1,1,0,26208,Retail Store,50,1608884,1036767,572117,38
Mixed Use Property,98117,BALLARD,1926,1,1,0,42172,"Food Service, Other, Other - Education, Other - Entertainment/Public Assembly, Other - Recreation, Social/Meeting Hall",77,3275779,473305,2802474,152
Small- and Mid-Sized Office,98104,DOWNTOWN,1910,1,5,0,32250,Office,25,796042,668479,127563,11
Retail Store,98103,NORTHWEST,1953,1,1,0,51000,Retail Store,26,1298040,1187021,111019,14
Mixed Use Property,98134,GREATER DUWAMISH,1916,1,1,0,27000,"Other, Other - Entertainment/Public Assembly, Self-Storage Facility",8,229856,229857,0,2
Other,98134,GREATER DUWAMISH,1935,1,2,0,20747,"Office, Other - Entertainment/Public Assembly, Restaurant",48,1001964,775118,226846,17
Warehouse,98101,GREATER DUWAMISH,1928,1,2,0,40800,"Non-Refrigerated Warehouse, Office",20,817256,337487,479769,28
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1920,1,2,0,20150,Office,29,576174,576174,0,4
Small- and Mid-Sized Office,98104,DOWNTOWN,1909,1,7,0,36000,Office,53,1682455,1682455,0,12
Warehouse,98111,GREATER DUWAMISH,1938,1,2,0,41276,"Non-Refrigerated Warehouse, Office, Retail Store",61,2502081,786001,1716080,97
Refrigerated Warehouse,98134,GREATER DUWAMISH,1937,1,2,0,24430,"Other, Refrigerated Warehouse",51,1232823,907206,325617,24
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1927,1,1,0,22580,Office,41,928585,859792,68793,10
Warehouse,98122,CENTRAL,1926,1,1,0,20000,Non-Refrigerated Warehouse,37,743528,129264,614264,34
Warehouse,98122,CENTRAL,1954,1,1,0,42000,"Non-Refrigerated Warehouse, Office",49,2070006,604078,1465928,82
Self-Storage Facility,98122,CENTRAL,1962,1,1,0,24248,"Parking, Self-Storage Facility",5,111970,111750,220,1
Warehouse,98134,GREATER DUWAMISH,1932,1,1,0,24617,Non-Refrigerated Warehouse,5,106918,106918,0,1
Retail Store,98134,GREATER DUWAMISH,1964,1,1,0,37247,Retail Store,47,1748644,747998,1000646,58
Retail Store,98117,BALLARD,1993,1,1,0,25384,Retail Store,129,3027868,1811508,1216359,77
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1910,1,3,0,49052,"Office, Retail Store",34,1441446,1441445,0,10
Warehouse,98134,GREATER DUWAMISH,1900,1,2,0,52110,Non-Refrigerated Warehouse,18,586589,130124,456465,25
Small- and Mid-Sized Office,98104,GREATER DUWAMISH,1910,1,2,0,20970,"Office, Parking",10,204499,117680,86819,5
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1937,1,2,0,39036,"Office, Other",37,1528296,908543,619753,39
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1923,1,1,0,26310,"Non-Refrigerated Warehouse, Office, Social/Meeting Hall",23,771513,563096,208417,15
K-12 School,98126,DELRIDGE,1962,1,3,0,29874,K-12 School,41,1274050,290239,983811,54
Worship Facility,98199,MAGNOLIA / QUEEN ANNE,1965,1,1,0,20140,"Parking, Worship Facility",45,992795,122390,870405,47
Small- and Mid-Sized Office,98144,CENTRAL,1971,1,2,0,39953,Office,50,1508562,1128549,380013,28
Retail Store,98144,CENTRAL,1998,1,2,0,21200,"Office, Retail Store",79,1676426,1676426,0,12
Supermarket / Grocery Store,98144,CENTRAL,1980,1,1,0,30630,"Other, Supermarket/Grocery Store",196,6058494,6058493,0,42
Retail Store,98144,CENTRAL,1980,1,2,0,23421,"Bank Branch, Retail Store",81,1896626,1896626,0,13
Worship Facility,98117,BALLARD,1928,1,2,0,24120,Worship Facility,37,893053,344302,548751,32
Worship Facility,98117,BALLARD,1929,1,3,0,35736,"Office, Worship Facility",32,1148202,213096,935106,51
Warehouse,98134,GREATER DUWAMISH,1941,1,1,0,51050,Non-Refrigerated Warehouse,24,1206166,787054,419112,28
Retail Store,98134,GREATER DUWAMISH,1954,1,2,0,21900,Retail Store,60,1302193,574237,727956,43
Distribution Center,98134,GREATER DUWAMISH,1952,1,1,0,16300,Distribution Center,2,150168,138179,11989,2
Warehouse,98134,GREATER DUWAMISH,1964,1,1,0,33462,Non-Refrigerated Warehouse,41,1386445,1386445,0,10
Mixed Use Property,98134,GREATER DUWAMISH,1952,1,1,0,35310,"Non-Refrigerated Warehouse, Other, Refrigerated Warehouse",46,1331470,564235,767235,45
Other,98108,GREATER DUWAMISH,1962,1,3,0,36140,Other,134,4653535,4653534,0,32
Warehouse,98104,DOWNTOWN,1930,1,1,0,23903,"Non-Refrigerated Warehouse, Worship Facility",18,415365,166749,248616,14
Self-Storage Facility,98115,NORTHEAST,1947,1,3,0,22522,Self-Storage Facility,25,561474,136609,424865,24
Self-Storage Facility,98115,NORTHEAST,1996,1,4,0,38959,Self-Storage Facility,23,905750,525913,379837,24
Warehouse,98144,GREATER DUWAMISH,1928,1,2,0,25955,"Non-Refrigerated Warehouse, Office, Other - Services",47,1218112,1218112,0,8
K-12 School,98104,EAST,1923,1,4,0,46100,"K-12 School, Parking",47,2177065,1097533,531237,78
Worship Facility,98133,NORTHWEST,1951,1,2,0,21936,Worship Facility,28,608755,77010,531746,29
Other,98125,NORTH,1960,1,1,0,25406,"Personal Services (Health/Beauty, Dry Cleaning, etc)",96,2442220,1901857,540363,42
Small- and Mid-Sized Office,98118,SOUTHEAST,1967,1,2,0,23250,Office,41,904236,904236,0,6
Warehouse,98134,GREATER DUWAMISH,1960,1,1,0,30000,"Non-Refrigerated Warehouse, Parking",93,2794837,600754,2194083,121
Warehouse,98108,GREATER DUWAMISH,1962,1,1,0,45036,"Non-Refrigerated Warehouse, Office, Repair Services (Vehicle, Shoe, Locksmith, etc)",43,1791698,988941,802757,50
K-12 School,98116,SOUTHWEST,1962,1,1,0,51410,K-12 School,38,1968907,862071,1106836,65
Small- and Mid-Sized Office,98125,NORTH,1980,1,4,0,23022,Office,45,1027231,865244,161987,15
Refrigerated Warehouse,98134,GREATER DUWAMISH,1967,1,1,0,27263,"Office, Other, Refrigerated Warehouse",91,2470642,2470642,0,17
Warehouse,98134,GREATER DUWAMISH,1962,1,1,0,31569,Non-Refrigerated Warehouse,93,3064040,804992,2259047,126
Warehouse,98134,GREATER DUWAMISH,1956,1,1,0,22509,Non-Refrigerated Warehouse,8,177813,177813,0,1
Warehouse,98134,GREATER DUWAMISH,1956,1,1,0,39984,"Non-Refrigerated Warehouse, Office",27,1073156,437302,635854,37
K-12 School,98102,EAST,1925,1,2,0,73769,K-12 School,35,2556131,886515,1669616,95
Worship Facility,98102,EAST,1906,1,1,0,26440,Worship Facility,27,719905,223375,496530,28
K-12 School,98115,NORTHEAST,1961,1,1,0,43578,K-12 School,32,1436774,1120124,316650,25
Self-Storage Facility,98144,GREATER DUWAMISH,1956,1,2,0,28800,Self-Storage Facility,40,1143827,678658,465168,29
Restaurant,98109,LAKE UNION,1978,1,2,0,26519,"Office, Restaurant",140,3717064,2170550,1546514,97
Other,98109,MAGNOLIA / QUEEN ANNE,1921,1,2,0,26300,Other - Entertainment/Public Assembly,134,3537842,1537923,1999918,117
Small- and Mid-Sized Office,98109,LAKE UNION,1949,1,3,0,23355,Office,38,840549,840549,0,6
Small- and Mid-Sized Office,98109,MAGNOLIA / QUEEN ANNE,1965,1,4,0,30840,"Office, Restaurant",116,3542708,1884294,1658414,101
Other,98115,NORTHEAST,1946,1,1,0,20332,Other,19,392684,213927,178757,11
Worship Facility,98122,CENTRAL,1900,1,1,0,21850,Worship Facility,14,317794,82056,235738,13
Self-Storage Facility,98109,MAGNOLIA / QUEEN ANNE,1918,1,2,0,28309,Self-Storage Facility,15,430309,238481,191828,12
Hotel,98104,DOWNTOWN,1914,1,4,0,45500,Hotel,62,2799595,1069553,788902,122
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,5,0,38376,"Office, Retail Store",65,2058533,2058533,0,14
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,4,0,42804,"Office, Retail Store",50,1544502,769417,775085,47
Mixed Use Property,98104,DOWNTOWN,2005,1,5,0,57600,"Financial Office, Multifamily Housing, Parking, Residence Hall/Dormitory",138,6983736,3197921,3785814,223
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,4,0,33300,"Office, Restaurant, Retail Store, Self-Storage Facility",39,1287497,1075503,211994,19
Hotel,98104,DOWNTOWN,1900,1,3,0,25450,Hotel,20,503745,503745,0,4
Other,98104,DOWNTOWN,1900,1,3,0,22200,Other,8,188746,64453,124293,7
Warehouse,98109,MAGNOLIA / QUEEN ANNE,1968,1,2,0,29498,"Non-Refrigerated Warehouse, Office",130,3768900,3253683,515217,50
Warehouse,98103,LAKE UNION,1938,1,1,0,23050,Non-Refrigerated Warehouse,20,466673,466673,0,3
Small- and Mid-Sized Office,98103,LAKE UNION,2008,1,4,0,48350,Office,72,3168131,3168131,0,22
Retail Store,98105,NORTHEAST,1930,1,1,0,46059,Retail Store,34,1582656,1374074,208582,21
Medical Office,98115,NORTHEAST,1970,1,2,0,23595,Medical Office,35,817410,799401,18009,7
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,3,0,28142,Office,30,847098,414101,92381,34
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,3,0,28760,"Non-Refrigerated Warehouse, Office, Retail Store",108,2615974,572200,1543021,125
Small- and Mid-Sized Office,98104,DOWNTOWN,1902,1,4,0,39030,"Office, Retail Store",18,713327,524342,188985,14
Small- and Mid-Sized Office,98104,DOWNTOWN,1909,1,3,0,47215,"Office, Retail Store",46,2092696,1597575,991813,64
Small- and Mid-Sized Office,98122,EAST,1917,1,3,0,30720,"Office, Retail Store",42,1288670,930084,358585,26
Mixed Use Property,98122,EAST,1916,1,2,0,20640,"Office, Restaurant, Retail Store",19,412562,412562,0,3
Mixed Use Property,98122,EAST,1912,1,2,0,34914,"Office, Restaurant, Retail Store",42,1333290,1333290,0,9
Small- and Mid-Sized Office,98122,EAST,1906,1,3,0,20897,"Non-Refrigerated Warehouse, Office, Retail Store",57,964924,725243,239681,18
Retail Store,98122,EAST,1916,1,2,0,36940,Retail Store,9,336745,336745,0,2
Small- and Mid-Sized Office,98122,EAST,1913,1,3,0,22866,Office,50,1153690,877955,275735,21
Retail Store,98122,EAST,1920,1,1,0,30240,"Restaurant, Retail Store",38,1264627,1061362,203265,18
Low-Rise Multifamily,98122,EAST,1910,1,3,0,32100,"Bar/Nightclub, Multifamily Housing",3,108200,11370,96830,5
Other,98105,NORTHEAST,1962,1,2,0,28586,Other,188,5078204,5078203,0,35
Hotel,98104,DOWNTOWN,1908,1,3,0,28800,"Hotel, Restaurant",161,4644346,1218294,3426052,190
Restaurant,98104,DOWNTOWN,1913,1,3,0,28800,Restaurant,31,899924,402907,497017,29
Small- and Mid-Sized Office,98104,DOWNTOWN,1979,1,3,0,35202,"Bank Branch, Office",108,3605756,3605755,0,25
Worship Facility,98122,EAST,1910,1,2,0,24600,Worship Facility,14,331060,258312,72748,6
Worship Facility,98104,EAST,1900,1,1,0,48850,"Office, Other, Worship Facility",29,1063480,239923,7881,65
Hospital,98116,SOUTHWEST,1961,1,3,0,54863,Hospital (General Medical & Surgical),19,2037721,2037720,0,14
Warehouse,98108,GREATER DUWAMISH,1964,1,1,0,25000,"Food Sales, Non-Refrigerated Warehouse, Office",80,1989104,861621,1127483,66
Warehouse,98134,GREATER DUWAMISH,1960,1,1,0,25000,"Non-Refrigerated Warehouse, Office",12,287132,143797,143335,9
Other,98108,GREATER DUWAMISH,1927,1,1,0,22622,Manufacturing/Industrial Plant,34,774076,315436,458640,27
Small- and Mid-Sized Office,98122,EAST,1917,1,3,0,27544,"Office, Parking",46,1031668,810115,221553,17
Small- and Mid-Sized Office,98121,DOWNTOWN,1989,1,7,0,47415,"Multifamily Housing, Office, Other - Entertainment/Public Assembly, Parking",43,1478979,1478979,0,10
Other,98109,MAGNOLIA / QUEEN ANNE,1961,1,3,0,22960,Other - Entertainment/Public Assembly,99,2266983,542327,1724655,95
Mixed Use Property,98105,NORTHEAST,1948,1,1,0,22778,"Medical Office, Office, Other, Restaurant, Retail Store",56,2470566,224359,2246207,121
Worship Facility,98117,BALLARD,1956,1,2,0,21562,"Pre-school/Daycare, Worship Facility",40,866806,189790,677016,37
Other,98122,CENTRAL,1959,1,1,0,25753,Other - Entertainment/Public Assembly,54,1378130,231543,1146587,63
K-12 School,98112,EAST,1925,1,3,0,38297,K-12 School,48,1845151,624583,1220568,69
Worship Facility,98118,SOUTHEAST,1968,1,1,0,24200,"Parking, Worship Facility",34,826489,466335,360154,22
Self-Storage Facility,98126,DELRIDGE,1994,1,3,0,66610,Self-Storage Facility,10,640377,329414,310963,19
Other,98134,GREATER DUWAMISH,1950,1,1,0,36000,"Office, Other",103,3646054,2922836,723217,59
K-12 School,98133,NORTHWEST,1938,1,2,0,23222,K-12 School,81,1219863,210763,1009100,55
Mixed Use Property,98122,EAST,1924,1,2,0,24476,"Fitness Center/Health Club/Gym, Office, Other, Other - Utility, Restaurant, Retail Store",111,2662054,1077101,1584953,92
Retail Store,98122,EAST,1910,1,2,0,24750,"Medical Office, Office, Retail Store",35,782344,292118,490226,28
K-12 School,98122,EAST,1904,1,3,0,60000,K-12 School,74,3625408,1537012,2088395,122
Other,98122,EAST,1954,1,2,0,46560,Other - Entertainment/Public Assembly,15,690558,419713,270845,17
Other,98109,MAGNOLIA / QUEEN ANNE,1980,1,3,0,30408,"Bank Branch, Parking",58,1440554,1440554,0,10
Small- and Mid-Sized Office,98109,MAGNOLIA / QUEEN ANNE,1920,1,3,0,30109,"Office, Parking",52,1465796,949635,516161,34
K-12 School,98126,SOUTHWEST,1964,1,2,0,39929,K-12 School,45,1813718,1065111,748607,47
Small- and Mid-Sized Office,98119,MAGNOLIA / QUEEN ANNE,1960,1,2,0,25481,Office,36,917100,219291,697809,39
Small- and Mid-Sized Office,98109,LAKE UNION,1912,1,2,0,27788,"Office, Other - Restaurant/Bar",57,2119806,1659964,459842,36
Warehouse,98134,GREATER DUWAMISH,1941,1,2,0,22324,Non-Refrigerated Warehouse,28,588856,193898,394958,22
Other,98134,GREATER DUWAMISH,1946,1,2,0,31360,Other - Entertainment/Public Assembly,54,1725108,1126394,598714,40
Mixed Use Property,98134,GREATER DUWAMISH,1947,1,1,0,30496,"Manufacturing/Industrial Plant, Office, Retail Store",61,1992158,1295854,696304,46
Small- and Mid-Sized Office,98122,EAST,1922,1,3,0,27600,"Office, Retail Store",48,1072151,961739,110412,13
Senior Care Community,98103,NORTHWEST,1961,1,2,0,55974,Senior Care Community,110,6135173,2657803,3477370,203
K-12 School,98118,GREATER DUWAMISH,1971,1,2,0,52901,K-12 School,42,2240342,1273997,966345,60
Senior Care Community,98125,NORTH,1954,1,1,0,22583,Senior Care Community,88,1981360,743706,1237654,71
Warehouse,98133,NORTHWEST,1972,1,1,0,29400,Non-Refrigerated Warehouse,9,227510,227509,0,2
Hotel,98108,GREATER DUWAMISH,1992,1,3,0,22452,Hotel,55,1244150,524385,719765,42
Other,98105,NORTHEAST,1912,1,2,0,25767,Bank Branch,91,1581353,1581352,0,11
Retail Store,98105,NORTHEAST,1953,1,4,0,33910,"Office, Retail Store",63,1822834,1270124,552710,38
Worship Facility,98105,NORTHEAST,1927,1,2,0,78401,"K-12 School, Office, Supermarket/Grocery Store, Worship Facility",31,2462408,939974,1522434,87
Warehouse,98103,LAKE UNION,1979,1,2,0,78716,"Non-Refrigerated Warehouse, Office, Other, Retail Store",52,4103801,3680806,422994,48
K-12 School,98103,LAKE UNION,1910,1,2,0,33300,K-12 School,52,1594734,335907,1258827,69
Supermarket / Grocery Store,98103,LAKE UNION,1957,1,1,0,28808,Supermarket/Grocery Store,296,9232576,5713530,3519045,227
Supermarket / Grocery Store,98105,NORTHEAST,1950,1,1,0,26226,"Parking, Supermarket/Grocery Store",294,7588060,5349470,2238590,156
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,4,0,22840,"Office, Other",39,881386,881386,0,6
Other,98104,DOWNTOWN,1900,1,1,0,21420,"Bar/Nightclub, Food Sales, Museum, Retail Store, Supermarket/Grocery Store",42,810637,722467,88170,10
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,1,0,20880,Office,33,683274,683274,0,5
Mixed Use Property,98104,DOWNTOWN,1966,1,3,0,26000,"Office, Other - Entertainment/Public Assembly",41,1063036,820061,242975,19
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,3,0,38675,"Office, Restaurant",118,1938777,1280095,658682,44
Small- and Mid-Sized Office,98104,DOWNTOWN,1929,1,4,0,49951,"Office, Other",92,5134446,2092919,2659447,185
Medical Office,98118,SOUTHEAST,2010,1,2,0,25880,Medical Office,75,1941729,1805820,135908,20
Worship Facility,98105,NORTHEAST,1927,1,3,0,41013,"Office, Worship Facility",31,1080821,432910,647911,37
Other,98105,NORTHEAST,2004,1,2,0,21075,"Office, Social/Meeting Hall",75,1581037,652060,928977,54
Worship Facility,98133,NORTHEAST,1950,1,3,0,46485,Worship Facility,24,1544996,759192,785803,47
Small- and Mid-Sized Office,98115,NORTHWEST,1965,1,4,0,56896,"Office, Parking",34,1402048,997123,404925,28
Worship Facility,98115,NORTHWEST,1978,1,2,0,27500,Worship Facility,21,577123,343669,233454,15
Small- and Mid-Sized Office,98104,DOWNTOWN,1930,1,2,0,36630,"Distribution Center, Office",16,541943,541943,0,4
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,3,0,26830,"Office, Other",78,2099387,1095970,1003417,61
Small- and Mid-Sized Office,98104,DOWNTOWN,1906,1,5,0,41920,Office,26,1103595,1103595,0,8
Small- and Mid-Sized Office,98104,DOWNTOWN,1905,1,5,0,36879,Office,35,1537570,1186017,351553,27
Other,98104,DOWNTOWN,1904,1,6,0,29820,Other - Lodging/Residential,54,1601956,1069795,532160,36
Small- and Mid-Sized Office,98104,DOWNTOWN,1905,1,2,0,33640,Office,40,1078536,1078536,0,8
Warehouse,98104,DOWNTOWN,1906,1,4,0,43484,"Non-Refrigerated Warehouse, Office, Retail Store",36,1567041,1567041,0,11
Mixed Use Property,98104,DOWNTOWN,1900,1,3,0,22480,"Office, Other, Retail Store",34,981009,981009,0,7
Hotel,98104,DOWNTOWN,1925,1,4,0,33018,"Hotel, Retail Store",166,4857582,1827547,3030034,174
Small- and Mid-Sized Office,98134,DOWNTOWN,1970,1,2,0,26510,Office,32,987064,893799,93265,11
Warehouse,98105,LAKE UNION,1938,1,1,0,40028,"Non-Refrigerated Warehouse, Office, Retail Store",19,942415,938199,4216,7
Worship Facility,98125,NORTH,1954,1,1,0,21624,Worship Facility,31,666688,313117,353571,21
K-12 School,98103,NORTHWEST,1970,1,1,0,42239,K-12 School,44,2145604,894324,1251280,73
K-12 School,98105,NORTHWEST,1925,1,3,0,51360,K-12 School,28,1403095,960186,442909,30
Small- and Mid-Sized Office,98104,DOWNTOWN,1993,1,3,0,21600,"Office, Restaurant",71,1539177,1069041,470135,32
Mixed Use Property,98104,DOWNTOWN,1909,1,3,0,20620,"Multifamily Housing, Retail Store, Social/Meeting Hall",36,747457,410059,337398,21
Hotel,98104,DOWNTOWN,1910,1,5,0,40552,Hotel,30,1200181,227435,972746,53
Small- and Mid-Sized Office,98104,DOWNTOWN,1909,1,3,0,31432,"Multifamily Housing, Office, Other",46,1439572,1439572,0,10
Retail Store,98104,DOWNTOWN,1917,1,2,0,24550,"Office, Retail Store",40,977230,90201,114794,7
K-12 School,98105,LAKE UNION,2000,1,2,0,61052,K-12 School,39,2366930,1688937,677992,48
Other,98122,CENTRAL,1908,1,3,0,25864,"Office, Social/Meeting Hall",47,1028277,433559,594718,35
Other,98105,NORTHEAST,1924,1,3,0,20686,Other - Lodging/Residential,58,1207504,464268,743236,43
Residence Hall,98105,NORTHEAST,1929,1,3,0,22124,Residence Hall/Dormitory,29,637685,637685,0,4
Residence Hall,98105,NORTHEAST,1926,1,3,0,27487,Residence Hall/Dormitory,58,1594505,406046,1188459,66
Residence Hall,98105,NORTHEAST,1926,1,4,0,23616,Residence Hall/Dormitory,70,1656420,743927,912493,54
Residence Hall,98105,NORTHEAST,1976,1,3,0,33448,Residence Hall/Dormitory,30,998634,998633,0,7
Other,98144,CENTRAL,1913,1,3,0,20992,"Other - Education, Performing Arts, Social/Meeting Hall",80,2473302,576892,1896410,105
K-12 School,98122,CENTRAL,1925,1,2,0,22344,K-12 School,68,1522597,555586,967011,55
University,98121,EAST,1921,1,3,0,31900,College/University,95,2466100,753713,1712387,96
Other,98117,BALLARD,1950,1,2,0,29417,"Fitness Center/Health Club/Gym, Office, Other - Recreation, Pre-school/Daycare",55,1631479,658940,972539,56
Mixed Use Property,98104,DOWNTOWN,1909,1,3,0,49299,"Multifamily Housing, Office, Restaurant",89,4729846,1323792,0,9
Mixed Use Property,98122,EAST,1988,1,2,0,21036,"Fitness Center/Health Club/Gym, Medical Office, Office, Parking, Restaurant",130,2735812,1450920,1284891,78
Mixed Use Property,98105,NORTHEAST,1999,1,2,0,32928,"Office, Other, Parking, Retail Store",172,5652231,5652230,0,39
Worship Facility,98105,NORTHEAST,1954,1,2,0,20039,Worship Facility,5,104722,104722,0,1
