PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions
Distribution Center,98106,DELRIDGE,1953,1,1,0,72719,Distribution Center,36,2581742,2045435,536307,43
Small- and Mid-Sized Office,98134,EAST,1930,1,4,0,76624,Office,36,2773648,2468547,305100,33
Retail Store,98108,GREATER DUWAMISH,1973,1,1,0,56572,Retail Store,43,2409429,1315085,1094344,67
Small- and Mid-Sized Office,98101,DOWNTOWN,1926,1,6,0,97720,"Data Center, Office, Retail Store",34,2478025,2478025,0,17
Medical Office,98122,CENTRAL,1987,1,7,0,94500,Medical Office,51,5792926,5792925,0,40
Retail Store,98106,DELRIDGE,2005,1,1,0,94713,Retail Store,49,5417598,4182901,1234697,95
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,6,0,56700,"Office, Retail Store",54,3065954,3065954,0,21
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1925,1,4,0,72000,Office,38,2729168,2632591,96576,23
Small- and Mid-Sized Office,98119,MAGNOLIA / QUEEN ANNE,1982,1,5,0,98668,Office,44,4391348,4391348,0,31
Retail Store,98121,MAGNOLIA / QUEEN ANNE,1978,1,1,0,50660,Retail Store,52,2661488,1747974,913514,61
Small- and Mid-Sized Office,98119,MAGNOLIA / QUEEN ANNE,1937,1,2,0,61929,Office,55,2203026,1328054,874972,56
Small- and Mid-Sized Office,98121,DOWNTOWN,1925,1,3,0,20565,Office,39,802312,802312,0,6
Large Office,98121,DOWNTOWN,1993,1,3,0,187130,"Non-Refrigerated Warehouse, Office, Other, Other - Recreation, Other - Services, Restaurant",53,10053489,10053488,0,70
Warehouse,98101,DOWNTOWN,1912,1,5,0,154330,Non-Refrigerated Warehouse,13,1262235,1262235,0,9
Large Office,98104,DOWNTOWN,1905,1,6,0,167860,"Data Center, Office, Retail Store",52,6797647,6797646,0,47
Large Office,98104,DOWNTOWN,1910,1,6,0,112560,"Office, Retail Store",51,4946798,3574020,1372778,98
