PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,ElectricityByGFA,FloorsByBuildings
Other,98134,GREATER DUWAMISH,2014,1,2,0,56988,"Automobile Dealership, Parking",22,544172,276732,267440,16,4.855969677826911,2
University,98108,GREATER DUWAMISH,2007,4,2,0,149856,College/University,42,6335316,4967236,1368079,107,33.14672752509075,8
Other,98146,DELRIDGE,2010,1,2,0,44162,"Parking, Pre-school/Daycare",35,1546485,953635,592850,38,21.59401748109234,2
Small- and Mid-Sized Office,98122,EAST,1912,1,2,0,64820,"Movie Theater, Office, Vocational School",38,2274297,1980767,293529,29,30.557960506016663,2
University,98122,EAST,1993,1,2,0,99765,College/University,32,3185005,2055974,1129031,74,20.608169197614394,2
Senior Care Community,98101,DOWNTOWN,1989,1,3,156000,41395,"Office, Other - Public Services, Personal Services (Health/Beauty, Dry Cleaning, etc), Senior Care Community",63,2737534,1888063,849471,58,45.610895035632325,3
Supermarket / Grocery Store,98107,BALLARD,2010,1,8,0,41198,Supermarket/Grocery Store,189,7768058,7151865,616192,83,173.59738336812467,8
Other,98124,GREATER DUWAMISH,2014,1,1,0,20993,"Repair Services (Vehicle, Shoe, Locksmith, etc)",44,923813,795829,98912,11,37.90925546610775,1
Other,98108,SOUTHEAST,2009,1,0,0,40265,Pre-school/Daycare,54,2159170,1371703,787467,51,34.066881907363715,0
University,98195,NORTHEAST,1969,1,4,0,58779,College/University,85,5000717,3719217,0,26,63.2745878630123,4
Residence Hall,98105,NORTHEAST,2011,1,0,0,176225,"Parking, Residence Hall/Dormitory",28,4926695,3424588,1502107,104,19.433042984820542,0
Residence Hall,98195,NORTHEAST,1970,1,0,0,89392,Residence Hall/Dormitory,78,6960904,6960904,0,49,77.86942903168068,0
Residence Hall,98195,NORTHEAST,2011,1,0,0,97040,Residence Hall/Dormitory,40,3894142,3129824,764318,62,32.25292662819456,0
Self-Storage Facility,98144,SOUTHEAST,2014,1,4,14004,87576,Self-Storage Facility,11,940845,868162,72683,10,9.913241070612953,4
Other,98105,NORTHEAST,2014,1,3,0,33648,"Automobile Dealership, Parking",36,1399582,1399582,0,10,41.59480504041845,3
Small- and Mid-Sized Office,98122,EAST,2015,1,5,0,37873,"Multifamily Housing, Office, Parking, Restaurant, Retail Store",62,2346692,1292155,1054537,65,34.11810524648166,5
Hotel,98101,DOWNTOWN,2015,1,14,0,144614,Hotel,35,5525072,5269208,255864,50,36.43636162473896,14
Mixed Use Property,98199,MAGNOLIA / QUEEN ANNE,2014,1,2,0,25532,"Office, Repair Services (Vehicle, Shoe, Locksmith, etc)",27,627854,627854,0,4,24.590866363778787,2
Other,98134,GREATER DUWAMISH,2015,1,2,0,108036,"Automobile Dealership, Parking",46,4991894,3752536,1239357,92,34.73412566181643,2
Hotel,98103,LAKE UNION,2014,1,4,41539,85284,"Hotel, Parking, Swimming Pool",68,6042400,4115620,1926779,131,48.25782092772384,4
Warehouse,98108,GREATER DUWAMISH,1955,1,1,4222,47863,Non-Refrigerated Warehouse,69,3605856,732803,2873052,158,15.310427679000481,1
Small- and Mid-Sized Office,98108,GREATER DUWAMISH,1929,1,2,0,24990,Office,177,4420650,2167029,2253621,135,86.71584633853541,2
Other,98155,NORTHEAST,2013,1,1,0,72000,Other - Recreation,41,2925780,1901620,1024160,68,26.41138888888889,1
K-12 School,98144,GREATER DUWAMISH,2015,1,3,0,45000,"K-12 School, Parking",29,1325973,1325973,0,9,29.466066666666666,3
University,98195,NORTHEAST,1962,1,1,0,68072,College/University,46,3180819,3180819,0,22,46.72727406275708,1
Mixed Use Property,0,NORTH,2005,1,1,0,20616,"Fitness Center/Health Club/Gym, Office, Other - Recreation, Pre-school/Daycare, Social/Meeting Hall",31,636966,636965,0,4,30.89663368257664,1
Other,0,CENTRAL,2013,1,1,0,11685,Prison/Incarceration,73,851054,347289,503765,29,29.7209242618742,1
Other,0,BALLARD,2010,1,1,0,11968,Prison/Incarceration,66,783423,403243,380180,23,33.69343248663102,1
Other,0,NORTH,1949,1,1,0,11285,Prison/Incarceration,57,645665,431795,213870,14,38.26273814798405,1
Other,0,BALLARD,1911,1,1,0,16795,"Fitness Center/Health Club/Gym, Food Service, Office, Other - Recreation, Pre-school/Daycare",56,936616,542134,394482,25,32.279487942840134,1
Office,0,MAGNOLIA / QUEEN ANNE,1952,1,1,0,13661,Office,37,502668,502668,0,4,36.79584217846424,1
Mixed Use Property,0,CENTRAL,1994,1,1,0,20050,"Fitness Center/Health Club/Gym, Office, Other - Recreation, Other - Technology/Science",90,1813404,769453,1043951,61,38.376708229426434,1
Office,0,SOUTHEAST,1960,1,1,0,15398,Office,25,387810,277537,110273,8,18.02422392518509,1
Other,0,DELRIDGE,1982,1,1,0,18261,Other - Recreation,51,932082,632362,299720,20,34.62910026833141,1
Office,0,GREATER DUWAMISH,1990,1,1,0,12294,Office,69,849746,524271,325475,21,42.6444607125427,1
Other,0,DOWNTOWN,2004,1,1,0,16000,Other - Recreation,59,950276,396546,553730,32,24.784125,1
Mixed Use Property,0,GREATER DUWAMISH,1989,1,1,0,14101,"Fitness Center/Health Club/Gym, Food Service, Office, Other - Recreation, Pre-school/Daycare",51,719471,348870,370601,22,24.74079852492731,1
Mixed Use Property,0,GREATER DUWAMISH,1938,1,1,0,18258,"Fitness Center/Health Club/Gym, Food Service, Office, Other - Recreation, Pre-school/Daycare",63,1152896,432554,720342,41,23.691203855844012,1
